Code,GMPE,Year,TectonicRegion,RequiresDistances,RequiresRupture,RequiresSites,DefinedForIMTs,DefinedForStdDevs,Shortcut,Description
PezeschkEtAl2015NGAEastM1SSTotalSigma,PezeschkEtAl2015NGAEastM1SSTotalSigma,2015,Active Shallow Crust,rrup,mag,vs30,PGA SA,Total,Pe2015NGAEastM1SSTotalSigma,
PezeschkEtAl2015NGAEastM2ES,PezeschkEtAl2015NGAEastM2ES,2015,Active Shallow Crust,rrup,mag,vs30,PGA SA,Inter event Intra event Total,Pe2015NGAEastM2ES,
PezeschkEtAl2015NGAEastM2ESTotalSigma,PezeschkEtAl2015NGAEastM2ESTotalSigma,2015,Active Shallow Crust,rrup,mag,vs30,PGA SA,Total,Pe2015NGAEastM2ESTotalSigma,
PezeshkEtAl2011,PezeshkEtAl2011,2011,Stable Shallow Crust,rrup,mag,,PGA SA,Total,Pe2011,"Implements GMPE developed by Shahram Pezeshk, Arash Zandieh and Behrooz Tavakoli. Published as ""Hybrid Empirical Ground-Motion Prediction Equations for Eastern North America Using NGA Models and Updated Seismological Parameters"", 2011, Bulletin of the Seismological Society of America, vol. 101, no. 4, 1859 - 1870."
PezeshkEtAl2011NEHRPBC,PezeshkEtAl2011NEHRPBC,2011,Stable Shallow Crust,rrup,mag,,PGA SA,Total,Pe2011NEHRPBC,Adaptation of Pezeshk et al. (2011) to amplify the ground motions from the original hard rock (Vs30 > 2000 m/s) ctx to the NEHRP B/C site class using the factors of Atkinson and Adams (2013) (Table 2) Note: 1) Correction at PGA is distance dependent in the original paper. Here we use a fixed distance of 20km (factor -0.10) 2) All periods between 0.05s and PGA are kept constant at -0.10 3) All periods above 5s are kept constant at 0.00 (no correction)
PhungEtAl2020Asc,PhungEtAl2020Asc,2020,Active Shallow Crust,rjb rrup rx,dip mag rake ztor,vs30 z1pt0,PGA SA,Inter event Intra event Total,Ph2020Asc,Implements Phung et al. (2020) for crustal.
PhungEtAl2020SInter,PhungEtAl2020SInter,2020,Subduction Interface,rrup,mag ztor,vs30 z1pt0,PGA SA,Inter event Intra event Total,Ph2020SInter,Implements Phung et al. (2020) for Subduction Interface.
PhungEtAl2020SSlab,PhungEtAl2020SSlab,2020,Subduction IntraSlab,rrup,mag ztor,vs30 z1pt0,PGA SA,Inter event Intra event Total,Ph2020SSlab,Implements Phung et al. (2020) for Subduction Intraslab.
PitilakisEtAl2018,PitilakisEtAl2018,0,—,,,,,,,
PitilakisEtAl2020,PitilakisEtAl2020,0,—,,,,,,,
RaghukanthIyengar2007,RaghukanthIyengar2007,2007,Stable Shallow Crust,rhypo,mag,vs30,PGA SA,Total,RI2007,Implements GMPE of Raghukanth & Iyengar (2007) for stable continental regions of peninsular India.
RaghukanthIyengar2007KoynaWarna,RaghukanthIyengar2007KoynaWarna,2007,Stable Shallow Crust,rhypo,mag,vs30,PGA SA,Total,RI2007KoynaWarna,Implements GMPE of Raghukanth & Iyengar (2007) for the Koyna-Warna region of India.
RaghukanthIyengar2007Southern,RaghukanthIyengar2007Southern,2007,Stable Shallow Crust,rhypo,mag,vs30,PGA SA,Total,RI2007Southern,Implements GMPE of Raghukanth & Iyengar (2007) for southern India.
RaghukanthIyengar2007WesternCentral,RaghukanthIyengar2007WesternCentral,2007,Stable Shallow Crust,rhypo,mag,vs30,PGA SA,Total,RI2007WesternCentral,Implements GMPE of Raghukanth & Iyengar (2007) for western-central India.
RamadanEtAl2023deep,RamadanEtAl2023deep,2023,Volcanic,rhypo,mag,vs30,PGA PGV SA,Inter event Intra event Total,Ra2023deep,
RamadanEtAl2023shallow,RamadanEtAl2023shallow,2023,Volcanic,rhypo,mag,vs30,PGA PGV SA,Inter event Intra event Total,Ra2023shallow,"Implements GMPE developed by Fadel Ramadan, Giovanni Lanzano, Sara Sgobba(2023) and submitted as ""Vertical seismic ground shaking in the volcanic areas of Italy: prediction equations and PSHA examples"" Soil Dynamics and Earthquake Engineering."
RietbrockEdwards2019Low,RietbrockEdwards2019Low,2019,Stable Shallow Crust,rjb,mag,,PGA PGV SA,Inter event Intra event Total,RE2019Low,
RietbrockEdwards2019Mean,RietbrockEdwards2019Mean,2019,Stable Shallow Crust,rjb,mag,,PGA PGV SA,Inter event Intra event Total,RE2019Mean,Implements the ground motion prediction equation of Rietbrock et al (2019):
RietbrockEdwards2019Up,RietbrockEdwards2019Up,2019,Stable Shallow Crust,rjb,mag,,PGA PGV SA,Inter event Intra event Total,RE2019Up,
RietbrockEtAl2013MagDependent,RietbrockEtAl2013MagDependent,2013,Stable Shallow Crust,rjb,mag,,PGA PGV SA,Inter event Intra event Total,Ri2013MagDependent,"Implements the Rietbrock et al (2013) GMPE for the case in which the stress parameter is magnitude-dependent (Table 6, Page 65)"
RietbrockEtAl2013SelfSimilar,RietbrockEtAl2013SelfSimilar,2013,Stable Shallow Crust,rjb,mag,,PGA PGV SA,Inter event Intra event Total,Ri2013SelfSimilar,Implements the ground motion prediction equation of Rietbrock et al (2013):
SInterCan15Low,SInterCan15Low,0,Subduction Interface,rrup,hypo_depth mag,backarc vs30,PGA SA,Total,SInterCan15Low,
SInterCan15Mid,SInterCan15Mid,0,Subduction Interface,rrup,hypo_depth mag,backarc vs30,PGA SA,Total,SInterCan15Mid,Implements the Interface backbone model used for computing hazard for t the 2015 version of the Canada national hazard model developed by NRCan.
SInterCan15Upp,SInterCan15Upp,0,Subduction Interface,rrup,hypo_depth mag,backarc vs30,PGA SA,Total,SInterCan15Upp,
